questionLink,upvotes,answers
https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array,26119,28
https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git,23688,100
https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely,18774,41
https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,12959,38
https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do,11742,46
https://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type,11008,37
https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit,10246,37
https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array,10202,117
https://stackoverflow.com/questions/6591213/how-do-i-rename-a-local-git-branch,10038,36
https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c-c,9628,29
https://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap,8814,30
https://stackoverflow.com/questions/244777/can-comments-be-used-in-json,8711,61
https://stackoverflow.com/questions/1125968/how-do-i-force-git-pull-to-overwrite-local-files,8401,47
https://stackoverflow.com/questions/8318911/why-does-html-think-chucknorris-is-a-color,8297,10
https://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery,8271,62
https://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it,8068,29
https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage,7710,58
https://stackoverflow.com/questions/179123/how-to-modify-existing-unpushed-commit-messages,7656,27
https://stackoverflow.com/questions/1783405/how-do-i-check-out-a-remote-git-branch,7646,38
https://stackoverflow.com/questions/111102/how-do-javascript-closures-work,7626,86
https://stackoverflow.com/questions/4114095/how-do-i-revert-a-git-repository-to-a-previous-commit,7620,41
https://stackoverflow.com/questions/61212/how-to-remove-local-untracked-files-from-the-current-git-working-tree,7507,41
https://stackoverflow.com/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript,7418,3
https://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname,7334,41
https://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value,7303,91
https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result,7287,11
https://stackoverflow.com/questions/419163/what-does-if-name-main-do,7236,39
https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator,7112,29
https://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c,7106,63
https://stackoverflow.com/questions/208105/remove-properties-from-objects-javascript,6881,32
https://stackoverflow.com/questions/1274057/how-can-i-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitign,6826,30
https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python,6532,24
https://stackoverflow.com/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions,6483,42
https://stackoverflow.com/questions/16956810/how-do-i-find-all-files-containing-specific-text-on-linux,6438,53
https://stackoverflow.com/questions/14220321/how-to-return-the-response-from-an-asynchronous-call,6237,42
https://stackoverflow.com/questions/2025282/what-is-the-difference-between-px-dip-dp-and-sp,6159,36
https://stackoverflow.com/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-take-union-of-dictionari,6067,54
https://stackoverflow.com/questions/630453/what-is-the-difference-between-post-and-put-in-http,5870,38
https://stackoverflow.com/questions/950087/how-do-i-include-a-javascript-file-in-another-javascript-file,5848,65
https://stackoverflow.com/questions/1628563/move-the-most-recent-commits-to-a-new-branch-with-git,5798,18
https://stackoverflow.com/questions/826782/how-to-disable-text-selection-highlighting,5732,50
https://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons,5656,48
https://stackoverflow.com/questions/59895/how-can-i-get-the-source-directory-of-a-bash-script-from-within-the-script-itsel,5596,72
https://stackoverflow.com/questions/89228/how-to-execute-a-program-or-call-a-system-command,5569,62
https://stackoverflow.com/questions/762011/whats-the-difference-between-using-let-and-var,5540,38
https://stackoverflow.com/questions/52704/how-do-i-discard-unstaged-changes-in-git,5534,37
https://stackoverflow.com/questions/549/the-definitive-guide-to-form-based-website-authentication,5522,11
https://stackoverflow.com/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers,5312,17
https://stackoverflow.com/questions/9329446/for-each-over-an-array-in-javascript,5234,40
https://stackoverflow.com/questions/487258/what-is-a-plain-english-explanation-of-big-o-notation,5181,42questionLink,upvotes,answers
https://stackoverflow.com/questions/15666048/angularjs-service-vs-provider-vs-factory,3366,30
https://stackoverflow.com/questions/130794/what-is-dependency-injection,3362,37
https://stackoverflow.com/questions/121162/what-does-the-explicit-keyword-mean,3325,10
https://stackoverflow.com/questions/5585779/how-do-i-convert-a-string-to-an-int-in-java,3313,48
https://stackoverflow.com/questions/684672/how-do-i-loop-through-or-enumerate-a-javascript-object,3293,42
https://stackoverflow.com/questions/1986896/what-is-the-difference-between-call-and-apply,3291,26
https://stackoverflow.com/questions/6245570/how-to-get-the-current-branch-name-in-git,3286,41
https://stackoverflow.com/questions/1436703/what-is-the-difference-between-str-and-repr,3247,25
https://stackoverflow.com/questions/3297048/403-forbidden-vs-401-unauthorized-http-responses,3243,18
https://stackoverflow.com/questions/285793/what-is-a-serialversionuid-and-why-should-i-use-it,3243,26
https://stackoverflow.com/questions/53513/how-do-i-check-if-a-list-is-empty,3231,27
https://stackoverflow.com/questions/1024847/how-can-i-add-new-keys-to-a-dictionary,3223,22
https://stackoverflow.com/questions/572549/difference-between-git-add-a-and-git-add,3217,11
https://stackoverflow.com/questions/236129/how-do-i-iterate-over-the-words-of-a-string,3215,81
https://stackoverflow.com/questions/444798/case-insensitive-containsstring,3203,29
https://stackoverflow.com/questions/424071/how-do-i-list-all-of-the-files-in-a-commit,3188,28
https://stackoverflow.com/questions/4181703/how-to-concatenate-string-variables-in-bash,3187,30
https://stackoverflow.com/questions/1711631/improve-insert-per-second-performance-of-sqlite,3174,11
https://stackoverflow.com/questions/1720421/how-do-i-concatenate-two-lists-in-python,3173,33
https://stackoverflow.com/questions/16476924/how-to-iterate-over-rows-in-a-dataframe-in-pandas,3172,31
https://stackoverflow.com/questions/4775722/how-can-i-check-if-an-object-is-an-array,3167,51
https://stackoverflow.com/questions/123198/how-to-copy-files,3164,21
https://stackoverflow.com/questions/1085162/commit-only-part-of-a-file-in-git,3160,26
https://stackoverflow.com/questions/606191/convert-bytes-to-a-string,3153,23
https://stackoverflow.com/questions/1357118/event-preventdefault-vs-return-false,3135,14
https://stackoverflow.com/questions/195951/how-can-i-change-an-elements-class-with-javascript,3116,34
https://stackoverflow.com/questions/252703/what-is-the-difference-between-pythons-list-methods-append-and-extend,3113,20
https://stackoverflow.com/questions/229551/how-to-check-if-a-string-contains-a-substring-in-bash,3084,27
https://stackoverflow.com/questions/263965/how-can-i-convert-a-string-to-boolean-in-javascript,3078,97
https://stackoverflow.com/questions/805107/creating-multiline-strings-in-javascript,3071,41
https://stackoverflow.com/questions/750486/javascript-closure-inside-loops-simple-practical-example,3071,44
https://stackoverflow.com/questions/27509/detecting-an-undefined-object-property,3069,50
https://stackoverflow.com/questions/1555109/how-to-stop-edittext-from-gaining-focus-at-activity-startup-in-android,3067,54
https://stackoverflow.com/questions/1005073/initialization-of-an-arraylist-in-one-line,3058,32
https://stackoverflow.com/questions/166221/how-can-i-upload-files-asynchronously-with-jquery,3055,34
https://stackoverflow.com/questions/2530/how-do-you-disable-browser-autocomplete-on-web-form-field-input-tags,3049,96
https://stackoverflow.com/questions/510348/how-can-i-make-a-time-delay-in-python,3039,13
